point_idx,row,col,x,y,z
141,0,141,-1079.23,530.76,1840.0
142,0,142,-1206.01,583.55,2023.0
143,0,143,-1141.26,543.46,1884.0
144,0,144,-1112.0,521.25,1807.0
145,0,145,-1251.87,577.78,2003.0
146,0,146,-1207.03,548.65,1902.0
147,0,147,-1207.93,540.86,1875.0
148,0,148,-1205.03,531.63,1843.0
149,0,149,-1318.96,573.46,1988.0
150,0,150,-1165.09,499.32,1731.0
151,0,151,-1308.72,552.98,1917.0
152,0,152,-1327.84,553.26,1918.0
153,0,153,-1342.07,551.53,1912.0
154,0,154,-1381.09,559.9,1941.0
155,0,155,-1428.6,571.44,1981.0
156,0,156,-1387.73,547.78,1899.0
157,0,157,-1383.03,538.84,1868.0
158,0,158,-1398.75,537.98,1865.0
159,0,159,-1498.72,569.13,1973.0
160,1,0,1343.07,486.86,1746.0
161,1,1,1419.72,521.16,1869.0
162,1,2,1424.25,529.52,1899.0
163,1,3,1428.94,538.17,1930.0
164,1,4,1335.84,509.73,1828.0
165,1,5,1322.59,511.4,1834.0
166,1,6,1213.17,475.43,1705.0
167,1,7,1349.79,536.22,1923.0
168,1,8,1361.07,548.21,1966.0
169,1,9,1277.31,521.72,1871.0
170,1,10,1288.94,533.99,1915.0
171,1,11,1251.95,526.18,1887.0
172,1,12,1268.46,540.96,1940.0
173,1,13,1214.37,525.62,1885.0
174,1,14,1226.07,538.73,1932.0
175,1,15,1192.5,532.03,1908.0
176,1,16,1132.92,513.35,1841.0
177,1,17,1192.15,548.76,1968.0
178,1,18,1195.88,559.36,2006.0
179,1,19,1117.35,531.2,1905.0
180,1,20,1085.76,524.78,1882.0
181,1,21,1082.42,532.03,1908.0
182,1,22,1069.65,534.82,1918.0
183,1,23,1042.44,530.36,1902.0
184,1,24,984.84,510.0,1829.0
185,1,25,966.2,509.45,1827.0
186,1,26,1007.82,541.24,1941.0
187,1,27,963.68,527.29,1891.0
188,1,28,977.0,544.86,1954.0
189,1,29,937.12,532.87,1911.0
190,1,30,902.4,523.39,1877.0
191,1,31,922.04,545.7,1957.0
192,1,32,894.0,540.12,1937.0
193,1,33,885.31,546.25,1959.0
194,1,34,861.61,543.19,1948.0
195,1,35,848.94,547.09,1962.0
196,1,36,780.15,514.19,1844.0
197,1,37,780.2,526.18,1887.0
198,1,38,742.26,512.51,1838.0
199,1,39,739.18,522.83,1875.0
200,1,40,738.07,535.1,1919.0
201,1,41,685.87,510.0,1829.0
202,1,42,646.36,493.27,1769.0
203,1,43,576.7,452.0,1621.0
204,1,44,631.03,508.33,1823.0
205,1,45,599.71,496.9,1782.0
206,1,46,585.84,499.69,1792.0
207,1,47,555.6,488.25,1751.0
208,1,48,552.0,500.25,1794.0
209,1,49,513.28,480.17,1722.0
210,1,50,497.01,480.45,1723.0
211,1,51,492.72,492.72,1767.0
212,1,52,476.53,493.55,1770.0
213,1,53,482.1,517.81,1857.0
214,1,54,442.25,493.27,1769.0
215,1,55,390.38,452.84,1624.0
216,1,56,359.3,434.16,1557.0
217,1,57,388.34,489.65,1756.0
218,1,58,368.71,486.02,1743.0
219,1,59,322.47,445.31,1597.0
220,1,60,320.57,464.83,1667.0
221,1,61,308.56,470.97,1689.0
222,1,62,301.67,486.02,1743.0
223,1,63,295.53,504.15,1808.0
224,1,64,269.38,488.25,1751.0
225,1,65,240.14,464.27,1665.0
226,1,66,247.55,512.79,1839.0
227,1,67,219.25,489.09,1754.0
228,1,68,205.73,497.18,1783.0
